city,country,description
Antalya,Turkey,"Once seen simply as the gateway to the Turkish Riviera, Antalya today is very much a destination in its own right. Situated right on the Gulf of Antalya (Antalya Körfezi), the largest city on Turkey's western Mediterranean coastline is both classically beautiful and stylishly modern. At its core is the wonderfully preserved old-city district of Kaleiçi (literally 'within the castle'), which offers atmospheric accommodation in the finely restored Ottoman houses on its winding lanes. The old city wraps around a splendid Roman-era harbour with clifftop views of hazy-blue mountain silhouettes that are worth raising a toast to. Just outside of the central city are two beaches and one of Turkey's finest museums."
Athens,Greece,"With equal measures of grunge and grace, Athens is a heady mix of ancient history and contemporary cool.Acropolis ViewsThe magnificent Acropolis, visible from almost every part of the city, is the hub around which Athens still revolves. This temple city, built in the 5th century BC, serves as a daily reminder to Greeks of their heritage and the city's many transformations. All over the urban basin, rooftops and balconies angle toward the landmark, a block of milky marble atop a steep-sided hill. Pull up your own chair, settle in and allow time to appreciate the Acropolis' many moods, as the light shifts and the clouds cast their shifting shadows.Layers of HistoryThe cultural and social life of Athens plays out amid, around and in landmarks that are centuries old, if not millennia. The remnants of Ancient Greece get the most attention, of course, thanks to a little thing called democracy. Oh, and mythology, and drama, and philosophy. But don't overlook the 'later' years: thousand-year-old Byzantine churches, for instance, which squat, unruffled in the middle of streets and attached to hillsides. Ottoman traces can be seen in architecture and in food. And the neoclassical style of the 19th century adds elegance all over the centre.Creative EnergyAlthough Athenians have endured difficult circumstances since the start of the economic crisis in 2009, the city as a whole crackles with energy in art shows, political debates and even on the walls of derelict buildings, as Athens has become one of Europe's most noted spots for street art. Creative surprises lie around nearly every corner, so be sure to leave room in your schedule for spontaneous discovery: buy a ticket to that dance show that's just starting as you walk by, or sit down at the restaurant where the musicians are setting up. You'll be rewarded.Beaches and RuinsBeyond Athens, down the Attica peninsula, are more spectacular antiquities, such as the Temple of Poseidon at Sounion and the site of Ancient Eleusis, as well as very good beaches, such as those near historical Marathon. Sure, you could zip across, west to east, in less than an hour, but it's far more fun to take a leisurely road trip to a thermally heated lake, say, or a monastery with dazzling Byzantine mosaics. If you'd rather not drive, most of these surprise sights (including great beaches) can be reached on public transport."
Ayia-napa,Cyprus,"Endless blue-sky days and a coastline riddled with sandy pockets helped transform this village into the Mediterranean's summer clubbing capital in the 1990s. Hundreds of clubs and bars set up shop to cater for hedonist-seeking crowds flocking here between June and August and, a couple of decades on, for young Europeans from London to Moscow, Napa (as many visitors refer to it) is still where the party is at its hardest.Let's get one thing straight; Agia Napa isn't everyone's cup of tea. Its brashly tacky themed clubs have as many detractors as devotees, and the usual problems that come with rife alcohol and drug consumption rear up every summer. In recent years the municipality has pushed towards increasing family-oriented tourism. Despite this, if you're not into the nightlife scene and just want to experience the region's beaches, you could be more comfortable in nearby beach resort Protaras."
Bangkok,Thailand,"Same same, but different. This Thailish T-shirt philosophy sums up Bangkok, a city where the familiar and the exotic collide like the flavours on a plate of pàt tai.
Full-on Food
Until you’ve eaten on a Bangkok street, you haven’t actually eaten Thai food. The base flavours – spicy, sour, sweet and salty – can be an intense mix. But for adventurous foodies who don't need white tablecloths, there’s probably no better dining destination in the world. And with immigration bringing every regional Thai and international cuisine to the capital, it's also a truly diverse experience. And perhaps best of all, Bangkok has got to be one of the best-value dining destinations in the world.
Fun Folks
Language barriers have never prevented anybody from getting along with the Thai people. The capital’s cultural underpinnings are evident in virtually all facets of everyday life, and most enjoyably through its residents' sense of fun (known in Thai as sà·nùk). In Bangkok, anything worth doing should have an element of sà·nùk. Ordering food, changing money and haggling at markets will usually involve a sense of playfulness – a dash of flirtation, perhaps – and a smile. Street Thai is as much emoted as it's spoken.
Urban Exploration
With so much of its daily life conducted on the street, there are few cities in the world that reward exploration as handsomely as Bangkok does. Cap off an extended boat trip with a visit to a hidden market. A stroll off Banglamphu’s beaten track can lead to a conversation with a monk. Get lost in the tiny lanes of Chinatown and stumble upon a Chinese opera performance. Or after dark, let the BTS (Skytrain) escort you to Sukhumvit, where the local nightlife scene reveals a cosmopolitan and dynamic city.
A City of Contrasts
It’s the contradictions that provide the City of Angels with its complex, multifaceted personality. Here, climate-controlled megamalls sit side by side with 200-year-old village homes; gold-spired temples share space with neon-lit strips of sleaze; slow-moving traffic is bypassed by long-tail boats plying the canals and riverways; Buddhist monks dressed in robes shop for the latest smartphones; and streets lined with food carts are overlooked by restaurants perched on top of skyscrapers. As Bangkok races towards the future, these contrasts are only poised to increase and intensify, even while supplying the city with its unique and ever-evolving notion of Thai cosmopolitanism."
Barcelona,Spain,"Barcelona is an enchanting seaside city with boundless culture, fabled architecture and a world-class drinking and dining scene.
Architecture of the Ages
Barcelona's architectural treasures span 2000-plus years. Towering temple columns, ancient city walls and subterranean stone corridors provide a window into Roman-era Barcino. Fast forward a thousand years or so to the Middle Ages by taking a stroll through the shadowy lanes of the Gothic quarter, past tranquil plazas and soaring 14th-century cathedrals. In other parts of town bloom the sculptural masterpieces of Modernisme, a mix of ingenious and whimsical creations by Gaudí and his Catalan architectural contemporaries. Barcelona has also long inspired artists, including Pablo Picasso and Joan Miró, both of whom have major Barcelona museums devoted to their works.
A Moveable Feast
The masters of molecular gastronomy – Albert Adrià, Carles Abellan et al – are part of the long and celebrated tradition of Catalan cooking. Simple, flavourful ingredients – seafood, jamón (cured ham), market-fresh produce – are transformed into remarkable delicacies and then served in captivating settings. Feast on hearty, rich paella at an outdoor table overlooking the sea or step back to the 1920s at an elegant art nouveau dining room. Barcelona's wide-ranging palate adds further complexity: Basque-style tapas bars, Galician seafood taverns, avant-garde Japanese restaurants and sinful chocolate shops are all essential parts of the culinary landscape.
Under the Iberian Sun
The deep blue Mediterranean beckons. Sun-drenched beaches make a fine backdrop to a jog, bike ride or long leisurely stroll along the seaside – followed by a refreshing dip. You can also enjoy the view from out on the water while kayaking, stand-up paddleboarding or taking it easy on a sunset cruise. Looming behind the city, the rolling forest-covered Collserola hills provide a scenic setting for hiking, mountain biking or just admiring the view. Closer to the city centre, hilltop Montjuïc offers endless exploring amid botanic and sculpture gardens, an old castle and first-rate museums with panoramic views at every turn.
Twenty-four-hour Party People
The night holds limitless possibilities in Barcelona. Start with sunset drinks on a panoramic terrace or dig your heels in the sand at a rustic beachside chiringuito (temporary snack bar). As darkness falls, live music transforms the city: the rapid-fire rhythms of flamenco, brassy jazz spilling out of basements, and hands-in-the-air indie-rock at vintage concert halls. Towards midnight the bars fill. Take your pick from old-school taverns adorned with 19th-century murals, plush lounges in lamp-lit medieval chambers or boisterous cava bars. If you're still standing at 3am, hit the clubs and explore Barcelona's unabashed wild side."
Basel,Switzerland,"Historically, Basel's position astride the mighty Rhine has contributed to its growth as a key trade and transport hub. Today, it's a global centre for the pharmaceutical industry – titans Roche and Novartis are both headquartered here. But that's of little interest to the many thousands of art and architecture lovers who visit each year for the world-famous ART Basel festival and the city's wealth of galleries, museums and iconic buildings.Basel's position at the juncture of the French, German and Swiss borders adds to its multicultural appeal, and it's perhaps the place where Switzerland's Franco-Germanic roots are most evident, although the dominant language spoken is Swiss-German.It's easy to spend a day wandering the cobbled streets of the lofty and beautiful Altstadt in Grossbasel (Greater Basel) on the Rhine's south bank before crossing the Mittlere Brücke to Kleinbasel (Little Basel) for a more 'everyday' vibe and riverside alfresco dining."
Batumi,Georgia,"With a backdrop of mist-wrapped hills and soaring snow-capped peaks, Georgia’s second city is a charismatic place with a charming Old Town and a fantastic subtropical climate. Fronted by the calm waters of the Black Sea, Georgia's main summer resort boasts a long beach and a vast and beautifully maintained corniche.Batumi is also undergoing a construction boom, with new hotels and tower blocks transforming its skyline in recent years, even if the renovated charm of its original belle époque architecture from a century ago is hard to beat. July and August are supremely busy here, but the town has atmosphere year-round, with May, June and September also excellent times to visit."
Beijing,China,"From ancient walled capital to showpiece megacity in barely a century, Beijing (Běijīng, 北京), spins a breathless yarn of triumph, tragedy, endurance and innovation.
Layers of History
Capital of China since Kublai Khan came a-knocking (with a hundred thousand Mongol horsemen behind him), Beijing has hosted the last three imperial dynasties: the Yuan (Mongols), the Ming (Han Chinese) and the Qing (Manchu). Hutong, the city's residential alleyways, are a Mongolian legacy. The Forbidden City? Hat-tip to the Ming. Summer Palace? The Qing. Nor does it stop there. Chairman Mao slumbers in Tian'anmen Square, hallowed turf for the Communist Party of China. And over it all loom giants like the 528m CITIC Tower, which topped out in 2018. What next for this restive superpower? You're about to find out...
Have You Eaten?
In Beijing, chī le ma? (have you eaten?) is literally how locals greet their neighbours. Food is the glue that binds all Beijingren, no matter their beliefs or bank balance. Whether you're slurping noodles, queuing for jiānbing, or guiltily rolling just one more Peking duck pancake, you're in good company. A mouth-watering melting pot, Beijing hosts exotic regional cuisines from across China, which equates to unbridled adventure for foodies.
State of the Arts
From Peking opera troupes to world-class contemporary art, Beijing draws on a profound well of creativity, and that's despite the vagaries of censorship. To give the government its due, museums are more numerous than ever, curation is less prescriptive and innovation is at an all-time high. China's finest universities feed Zhongguancun, the 'Silicon Valley' of Beijing, which is making seismic waves with its breakthroughs in AI and Big Data. At the humbler end, post-punk bands drone away in divey livehouses, local DJs get the hands in the air, while old folks still warble the revolutionary songs in the city parks.
Party Capital
Undisputed party capital – the Communist Party, that is – Beijing is a uniquely micromanaged megacity, a showpiece where the State's latest schemes are piloted to the populace. 'Xi Jinping Thought' is the guiding mantra (Xi being China's prez for the foreseeable future). When Beijing needs to get things done, it gets things done. Air pollution? Improving year on year. Winter Olympics in a snowless city? No problemo. Country-wide surveillance? Easy-peasy. The world's biggest airport, Daxing, was ready to open at time of research, as ever more bullet trains race outwards to the provinces. All in a day's work for Beijing."
Berlin,Germany,"Berlin's combo of glamour and grit is bound to mesmerise all those keen to explore its vibrant culture, cutting-edge architecture, fabulous food, intense parties and tangible history.
High on History
Bismarck and Marx, Einstein and Hitler, JFK and Bowie, they’ve all shaped – and been shaped by – Berlin, whose richly textured history confronts you at every turn. This is a city that staged a revolution, was headquartered by Nazis, bombed to bits, divided in two and finally reunited – and that was just in the 20th century! Walk along remnants of the Berlin Wall, marvel at the splendour of a Prussian palace, visit Checkpoint Charlie or stand in the very room where the Holocaust was planned. Berlin is like an endlessly fascinating 3D textbook where the past is very much present wherever you go.
Party Paradise
Forget about New York – Berlin is the city that truly never sleeps. Sometimes it seems as though Berliners are the lotus-eaters of Germany, people who love nothing more than a good time. The city's vast party spectrum caters for every taste, budget and age group. From tiny basement clubs to industrial techno temples, chestnut-canopied beer gardens to fancy cocktail caverns, saucy cabarets to ear-pleasing symphonies – Berlin delivers hot-stepping odysseys, and not just after dark and on weekends but pretty much 24/7. Pack your stamina!
Cultural Trendsetter
When it comes to creativity, the sky’s the limit in Berlin, which is one of Europe's big start-up capitals. In the last 20 years, the city has become a giant lab of cultural experimentation thanks to a spirit that nurtures and encourages new ideas as well as to once abundant space and cheap rent. Although the last two of these are definitely a thing of the past. Top international performers still grace Berlin's theatre, concert and opera stages; international art-world stars like Olafur Eliasson and Jonathan Meese make their home here; and Clooney and Hanks shoot blockbusters in the German capital. Highbrow, lowbrow and everything in between – there’s plenty of room for the full gamut of cultural expression.
Laid-back Lifestyle
Berlin is a big multicultural metropolis but deep down it maintains the unpretentious charm of an international village. Locals and expats follow the credo 'live and let live' and put greater emphasis on personal freedom and a creative lifestyle than on material wealth and status symbols. Cafes are jammed at all hours, drinking is a religious rite and clubs keep going through the weekend into Monday. Size-wise, Berlin is pretty big but its key areas are wonderfully compact and easily navigated on foot, by bike or with public transport."
Boston,USA,"Boston's history recalls revolution and transformation, and today the city is still among the country’s most forward-thinking and barrier-breaking cities.
Art & Music
The arts have thrived in Boston ever since the 19th century, when this cultural capital was dubbed the Athens of America. Certainly, the intellectual elite appreciated their fine paintings and classical music, but they were also dedicated to spreading the cultural wealth, establishing museums, libraries and symphony orchestras for all to enjoy. Today the lucky residents of (and visitors to) Boston benefit from their largesse. These venerable institutions play an integral role on Boston's cultural stage, which has significantly expanded to include dynamic contemporary art, music and theater scenes.
Sports
'Fanatic' is no idle word here. Boston fans are passionate about sports. And with the five-time world-champion Patriots, the long-overdue World Series–winning Red Sox, the winningest basketball team in history, the Celtics, and the highly successful and historic hockey team, the Bruins, there is a lot to be passionate about. Boston's college teams also inspire fierce loyalties and staunch rivalries. No less spirited is the country's oldest and most celebrated running event, the world-famous Boston Marathon, and the world's largest two-day rowing event, the Head of the Charles Regatta.
Food
A word of advice: when in Boston, eat as much seafood as possible. Local specialties include the 'sacred cod,' fresh steamed lobster, oysters on the half-shell and thick, creamy chowder. You can eat seafood around the city, but especially in the fish-centered Seaport District, where it's accompanied by spectacular harbor views. The creatures of the sea are your top priority, but don't miss the chance to devour delectable pasta in the North End and to sample diverse Asian dishes in Chinatown. Trendy fusion restaurants draw on all of these eclectic influences to present contemporary cuisine that is uniquely Boston.
History
For all intents and purposes, Boston is the oldest city in America. And you can hardly walk a step over its cobblestone streets without running into some historic site. The Freedom Trail winds its way around the city center, connecting 16 historically significant sites, from the country's oldest public park to a Revolutionary War battle site. These are the very places where history unfolded, especially the events leading to the American fight for independence from Britain. Other sites remember the city's role in the abolition movement, its cultural contributions and more. In effect, Boston is one fantastic outdoor history museum."
